Institute,Location,Type,Academic Program Name,Quota,Seat Type,Gender,Opening Rank,Closing Rank,Year
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering (Artificial Intelligence),HS,OPEN,Gender-Neutral,,9717,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering (Artificial Intelligence),HS,EWS,Gender-Neutral,,18327,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering (Artificial Intelligence),HS,OBC-NCL,Gender-Neutral,,30361,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering (Artificial Intelligence),HS,SC,Gender-Neutral,,82671,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering (Artificial Intelligence),HS,ST,Gender-Neutral,,254803,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering (Artificial Intelligence),HS,OPEN,Female Only,,16573,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering (Artificial Intelligence),HS,EWS,Female Only,,31894,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering (Artificial Intelligence),HS,OBC-NCL,Female Only,,66077,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering (Artificial Intelligence),HS,SC,Female Only,,142608,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering (Artificial Intelligence),HS,ST,Female Only,,433104,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering (Artificial Intelligence),HS,OPEN (CW),Gender-Neutral,,720686,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering (Artificial Intelligence),HS,OBC (CW),Gender-Neutral,,98319,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering (Artificial Intelligence),HS,SC (CW),Gender-Neutral,,555672,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering (Artificial Intelligence),HS,OPEN (PwD),Gender-Neutral,,105902,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering (Artificial Intelligence),HS,OBC (PwD),Gender-Neutral,,314106,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering (Artificial Intelligence),HS,SC (PwD),Gender-Neutral,,473332,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering (Artificial Intelligence),HS,OPEN (KM),Gender-Neutral,,43084,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering,HS,OPEN,Gender-Neutral,,12803,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering,HS,EWS,Gender-Neutral,,25468,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering,HS,OBC-NCL,Gender-Neutral,,49996,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering,HS,SC,Gender-Neutral,,113605,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering,HS,ST,Gender-Neutral,,314867,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering,HS,OPEN,Female Only,,18509,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering,HS,EWS,Female Only,,30260,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering,HS,OBC-NCL,Female Only,,74635,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering,HS,SC,Female Only,,180198,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering,HS,ST,Female Only,,422005,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering,HS,OPEN (CW),Gender-Neutral,,575902,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering,HS,EWS (CW),Gender-Neutral,,66884,2024
