Institute,Location,Type,Academic Program Name,Quota,Seat Type,Gender,Opening Rank,Closing Rank,Year
IIIT Hyderabad,Hyderabad,IIIT Pvt,Computer Science and Engineering,AI,OPEN,Gender-Neutral,,1582,2024
IIIT Hyderabad,Hyderabad,IIIT Pvt,Computer Science and Engineering,AI,OPEN,Gender-Neutral,,1687,2023
IIIT Hyderabad,Hyderabad,IIIT Pvt,Computer Science and Engineering,AI,OPEN,Gender-Neutral,,2017,2022
IIIT Hyderabad,Hyderabad,IIIT Pvt,Computer Science and Engineering,AI,OPEN,Female-only (including Supernumerary),,3550,2024
IIIT Hyderabad,Hyderabad,IIIT Pvt,Computer Science and Engineering,AI,OPEN,Female-only (including Supernumerary),,4561,2023
IIIT Hyderabad,Hyderabad,IIIT Pvt,Electronics and Communication Engineering,AI,OPEN,Gender-Neutral,,4350,2024
IIIT Hyderabad,Hyderabad,IIIT Pvt,Electronics and Communication Engineering,AI,OPEN,Gender-Neutral,,4398,2023
IIIT Hyderabad,Hyderabad,IIIT Pvt,Electronics and Communication Engineering,AI,OPEN,Gender-Neutral,,10318,2022
IIIT Hyderabad,Hyderabad,IIIT Pvt,Electronics and Communication Engineering,AI,OPEN,Female-only (including Supernumerary),,7106,2024
IIIT Hyderabad,Hyderabad,IIIT Pvt,Electronics and Communication Engineering,AI,OPEN,Female-only (including Supernumerary),,8500,2023
IIIT Bangalore,Bangalore,IIIT Pvt,Integrated M.Tech. in Computer Science and Engineering,AI,OPEN,Gender-Neutral,,9323,2024
IIIT Bangalore,Bangalore,IIIT Pvt,Integrated M.Tech. in Computer Science and Engineering,AI,OPEN,Gender-Neutral,,9545,2023
IIIT Bangalore,Bangalore,IIIT Pvt,Integrated M.Tech. in Computer Science and Engineering,AI,OPEN,Gender-Neutral,,8997,2022
IIIT Bangalore,Bangalore,IIIT Pvt,Integrated M.Tech. in Electronics and Communication Engineering,AI,OPEN,Gender-Neutral,,13176,2024
IIIT Bangalore,Bangalore,IIIT Pvt,Integrated M.Tech. in Electronics and Communication Engineering,AI,OPEN,Gender-Neutral,,13669,2023
IIIT Bangalore,Bangalore,IIIT Pvt,Integrated M.Tech. in Electronics and Communication Engineering,AI,OPEN,Gender-Neutral,,18457,2022
IIIT Bangalore,Bangalore,IIIT Pvt,B.Tech. in Computer Science and Engineering,AI,OPEN,Gender-Neutral,,8706,2024
IIIT Bangalore,Bangalore,IIIT Pvt,B.Tech. in Artificial Intelligence and Data Science,AI,OPEN,Gender-Neutral,,11669,2024
IIIT Bangalore,Bangalore,IIIT Pvt,B.Tech. in Electronics and Communication Engineering,AI,OPEN,Gender-Neutral,,12315,2024
IIIT Bangalore,Bangalore,IIIT Pvt,Integrated M.Tech. in Computer Science and Engineering,AI,OBC,Gender-Neutral,,9323,2024
IIIT Bangalore,Bangalore,IIIT Pvt,Integrated M.Tech. in Computer Science and Engineering,AI,OBC,Gender-Neutral,,9545,2023
IIIT Bangalore,Bangalore,IIIT Pvt,Integrated M.Tech. in Computer Science and Engineering,AI,OPEN,Gender-Neutral,,8997,2022
